year,rank,song,artist,artist_original,artist_clean
1980,39,More Love,Kim Carnes,Kim Carnes,Kim Carnes
1980,40,Pop Muzik,M,M,M
1980,41,Brass in Pocket,The Pretenders,The Pretenders,The Pretenders
1980,42,Special Lady,"Ray, Goodman & Brown","Ray, Goodman & Brown",Ray
1980,43,Send One Your Love,Stevie Wonder,Stevie Wonder,Stevie Wonder
1980,44,The Second Time Around,Shalamar,Shalamar,Shalamar
1980,45,We Don't Talk Anymore,Cliff Richard,Cliff Richard,Cliff Richard
1980,46,Stomp!,The Brothers Johnson,The Brothers Johnson,The Brothers Johnson
1980,47,Heartache Tonight,Eagles,Eagles,Eagles
1980,48,Tired of Toein' the Line,Rocky Burnette,Rocky Burnette,Rocky Burnette
1980,49,Better Love Next Time,Dr. Hook,Dr. Hook,Dr. Hook
1980,50,Him,Rupert Holmes,Rupert Holmes,Rupert Holmes
1980,51,Against the Wind,Bob Seger and the Silver Bullet Band,Bob Seger and the Silver Bullet Band,Bob Seger
1980,52,On the Radio,Donna Summer,Donna Summer,Donna Summer
1980,53,Emotional Rescue,The Rolling Stones,The Rolling Stones,The Rolling Stones
1980,54,Rise,Herb Alpert,Herb Alpert,Herb Alpert
1980,55,All Out of Love,Air Supply,Air Supply,Air Supply
1980,56,Cool Change,Little River Band,Little River Band,Little River B
1980,57,You're Only Lonely,JD Souther,JD Souther,JD Souther
1980,58,Desire,Andy Gibb,Andy Gibb,y Gibb
1980,59,Let My Love Open the Door,Pete Townshend,Pete Townshend,Pete Townshend
1980,60,Romeo's Tune,Steve Forbert,Steve Forbert,Steve Forbert
1980,61,Daydream Believer,Anne Murray,Anne Murray,Anne Murray
1980,62,I Can't Tell You Why,Eagles,Eagles,Eagles
1980,63,Don't Let Go,Isaac Hayes,Isaac Hayes,Isaac Hayes
1980,64,Don't Do Me Like That,Tom Petty and the Heartbreakers,Tom Petty and the Heartbreakers,Tom Petty
1980,65,She's Out of My Life,Michael Jackson,Michael Jackson,Michael Jackson
1980,66,Fame,Irene Cara,Irene Cara,Irene Cara
1980,67,Fire Lake,Bob Seger and the Silver Bullet Band,Bob Seger and the Silver Bullet Band,Bob Seger
1980,68,How Do I Make You,Linda Ronstadt,Linda Ronstadt,Linda Ronstadt
1980,69,Into the Night,Benny Mardones,Benny Mardones,Benny Mardones
1980,70,Let Me Love You Tonight,Pure Prairie League,Pure Prairie League,Pure Prairie League
1980,71,Misunderstanding,Genesis,Genesis,Genesis
1980,72,An American Dream,The Dirt Band,The Dirt Band,The Dirt B
1980,73,One Fine Day,Carole King,Carole King,Carole King
1980,74,Dim All the Lights,Donna Summer,Donna Summer,Donna Summer
1980,75,You May Be Right,Billy Joel,Billy Joel,Billy Joel
1980,76,Neil,,,
1980,77,Pilot of the Airwaves,Charlie Dore,Charlie Dore,Charlie Dore
1980,78,Hurt So Bad,Linda Ronstadt,Linda Ronstadt,Linda Ronstadt
1980,79,Off the Wall,Michael Jackson,Michael Jackson,Michael Jackson
1980,80,I Pledge My Love,Peaches & Herb,Peaches & Herb,Peaches
1980,81,The Long Run,Eagles,Eagles,Eagles
1980,82,Stand by Me,Mickey Gilley,Mickey Gilley,Mickey Gilley
1980,83,Heartbreaker,Pat Benatar,Pat Benatar,Pat Benatar
1980,84,Déjà Vu,Dionne Warwick,Dionne Warwick,Dionne Warwick
1980,85,Drivin' My Life Away,Eddie Rabbitt,Eddie Rabbitt,Eddie Rabbitt
1980,86,Take the Long Way Home,Supertramp,Supertramp,Supertramp
1980,87,Sara,Fleetwood Mac,Fleetwood Mac,Fleetwood Mac
1980,88,Wait for Me,Daryl Hall & John Oates,Daryl Hall & John Oates,Daryl Hall
1980,89,Jojo,Boz Scaggs,Boz Scaggs,Boz Scaggs
1980,90,Neil Diamond,,,
1980,91,Give Me the Night,George Benson,George Benson,George Benson
1980,92,Broken Hearted Me,Anne Murray,Anne Murray,Anne Murray
1980,93,You Decorated My Life,Kenny Rogers,Kenny Rogers,Kenny Rogers
1980,94,Tusk,Fleetwood Mac,Fleetwood Mac,Fleetwood Mac
1980,95,I Wanna Be Your Lover,Prince,Prince,Prince
1980,96,In America,Charlie Daniels Band,Charlie Daniels Band,Charlie Daniels B
1980,97,Breakdown Dead Ahead,Boz Scaggs,Boz Scaggs,Boz Scaggs
1980,98,Ships,Barry Manilow,Barry Manilow,Barry Manilow
1980,99,All Night Long,Joe Walsh,Joe Walsh,Joe Walsh
1980,100,Refugee,Tom Petty and the Heartbreakers,Tom Petty and the Heartbreakers,Tom Petty
1981,1,Bette Davis Eyes,Kim Carnes,Kim Carnes,Kim Carnes
1981,2,Endless Love,"Diana Ross,Lionel Richie","Diana Ross,Lionel Richie",Diana Ross
1981,3,Lady,Kenny Rogers,Kenny Rogers,Kenny Rogers
1981,4,(Just Like) Starting Over,John Lennon,John Lennon,John Lennon
1981,5,Jessie's Girl,Rick Springfield,Rick Springfield,Rick Springfield
1981,6,Celebration,Kool & the Gang,Kool & the Gang,Kool
1981,7,Kiss on My List,Daryl Hall & John Oates,Daryl Hall & John Oates,Daryl Hall
1981,8,I Love a Rainy Night,Eddie Rabbitt,Eddie Rabbitt,Eddie Rabbitt
1981,9,9 To 5,Dolly Parton,Dolly Parton,Dolly Parton
1981,10,Keep on Loving You,REO Speedwagon,REO Speedwagon,REO Speedwagon
1981,11,Theme from The Greatest American Hero (Believe It or Not),Joey Scarbury,Joey Scarbury,Joey Scarbury
1981,12,Morning Train (Nine to Five),Sheena Easton,Sheena Easton,Sheena Easton
1981,13,Being with You,Smokey Robinson,Smokey Robinson,Smokey Robinson
1981,14,Queen of Hearts,Juice Newton,Juice Newton,Juice Newton
1981,15,Rapture,Blondie,Blondie,Blondie
1981,16,A Woman Needs Love (Just Like You Do),Raydio,Raydio,Raydio
1981,17,The Tide Is High,Blondie,Blondie,Blondie
1981,18,Just the Two of Us,"Grover Washington, Jr.,Bill Withers","Grover Washington, Jr.,Bill Withers",Grover Washington
1981,19,Slow Hand,The Pointer Sisters,The Pointer Sisters,The Pointer Sisters
1981,20,I Love You,Climax Blues Band,Climax Blues Band,Clima
1981,21,Woman,John Lennon,John Lennon,John Lennon
1981,22,Sukiyaki,A Taste of Honey,A Taste of Honey,A Taste of Honey
1981,23,The Winner Takes It All,ABBA,ABBA,ABBA
1981,24,Stars on 45 Medley,Stars on 45,Stars on 45,Stars on 45
1981,25,Angel of the Morning,Juice Newton,Juice Newton,Juice Newton
1981,26,Love on the Rocks,Neil Diamond,Neil Diamond,Neil Diamond
1981,27,Every Woman in the World,Air Supply,Air Supply,Air Supply
1981,28,The One That You Love,,,
1981,29,Guilty,"Barbra Streisand,Barry Gibb","Barbra Streisand,Barry Gibb",Barbra Streis
1981,30,The Best of Times,Styx,Styx,Sty
1981,31,Elvira,The Oak Ridge Boys,The Oak Ridge Boys,The Oak Ridge Boys
1981,32,Take It on the Run,REO Speedwagon,REO Speedwagon,REO Speedwagon
1981,33,(There's) No Gettin' Over Me,Ronnie Milsap,Ronnie Milsap,Ronnie Milsap
1981,34,Living Inside Myself,Gino Vannelli,Gino Vannelli,Gino Vannelli
1981,35,Woman in Love,Barbra Streisand,Barbra Streisand,Barbra Streis
1981,36,The Boy from New York City,The Manhattan Transfer,The Manhattan Transfer,The Manhattan Transfer
1981,37,Urgent,Foreigner,Foreigner,Foreigner
1981,38,Passion,Rod Stewart,Rod Stewart,Rod Stewart
1981,39,Lady (You Bring Me Up),Commodores,Commodores,Commodores
1981,40,Crying,Don McLean,Don McLean,Don McLean
1981,41,Hearts,Marty Balin,Marty Balin,Marty Balin
1981,42,It's My Turn,Diana Ross,Diana Ross,Diana Ross
1981,43,You Make My Dreams,Daryl Hall & John Oates,Daryl Hall & John Oates,Daryl Hall
1981,44,I Don't Need You,Kenny Rogers,Kenny Rogers,Kenny Rogers
1981,45,How 'Bout Us,Champaign,Champaign,Champaign
1981,46,Hit Me with Your Best Shot,Pat Benatar,Pat Benatar,Pat Benatar
1981,47,The Breakup Song (They Don't Write 'Em),The Greg Kihn Band,The Greg Kihn Band,The Greg Kihn B
1981,48,Time,The Alan Parsons Project,The Alan Parsons Project,The Alan Parsons Project
1981,49,Hungry Heart,Bruce Springsteen,Bruce Springsteen,Bruce Springsteen
1981,50,Sweetheart,Franke and the Knockouts,Franke and the Knockouts,Franke
1981,51,Somebody's Knockin',Terri Gibbs,Terri Gibbs,Terri Gibbs
1981,52,More Than I Can Say,Leo Sayer,Leo Sayer,Leo Sayer
1981,53,Together,Tierra,Tierra,Tierra
1981,54,Too Much Time on My Hands,Styx,Styx,Sty
1981,55,What Are We Doin' in Love,"Dottie West,Kenny Rogers","Dottie West,Kenny Rogers",Dottie West
1981,56,Who's Crying Now,Journey,Journey,Journey
1981,57,"De Do Do Do, De Da Da Da",The Police,The Police,The Police
1981,58,This Little Girl,Gary U.S. Bonds,Gary U.S. Bonds,Gary U.S. Bonds
1981,59,Stop Draggin' My Heart Around,"Stevie Nicks,Tom Petty","Stevie Nicks,Tom Petty",Stevie Nicks
1981,60,Delbert McClinton,,,
1981,61,A Little in Love,Cliff Richard,Cliff Richard,Cliff Richard
1981,62,America,Neil Diamond,Neil Diamond,Neil Diamond
1981,63,John Cougar,,,
1981,64,Arthur's Theme (Best That You Can Do),Christopher Cross,Christopher Cross,Christopher Cross
1981,65,Another One Bites the Dust,Queen,Queen,Queen
1981,66,Games People Play,The Alan Parsons Project,The Alan Parsons Project,The Alan Parsons Project
1981,67,I Can't Stand It,Eric Clapton,Eric Clapton,Eric Clapton
1981,68,While You See a Chance,Steve Winwood,Steve Winwood,Steve Winwood
1981,69,Master Blaster (Jammin'),Stevie Wonder,Stevie Wonder,Stevie Wonder
1981,70,Hello Again,Neil Diamond,Neil Diamond,Neil Diamond
1981,71,Don't Stand So Close to Me,The Police,The Police,The Police
1981,72,Hey Nineteen,Steely Dan,Steely Dan,Steely Dan
1981,73,I Ain't Gonna Stand for It,Stevie Wonder,Stevie Wonder,Stevie Wonder
1981,74,All Those Years Ago,George Harrison,George Harrison,George Harrison
1981,75,Step By Step,Eddie Rabbitt,Eddie Rabbitt,Eddie Rabbitt
1981,76,The Stroke,Billy Squier,Billy Squier,Billy Squier
1981,77,Feels So Right,Alabama,Alabama,Alabama
1981,78,Sweet Baby,"Stanley Clarke,George Duke","Stanley Clarke,George Duke",Stanley Clarke
1981,79,Same Old Lang Syne,Dan Fogelberg,Dan Fogelberg,Dan Fogelberg
1981,80,Cool Love,Pablo Cruise,Pablo Cruise,Pablo Cruise
1981,81,Hold On Tight,Electric Light Orchestra,Electric Light Orchestra,Electric Light Orchestra
1981,82,It's Now or Never,John Schneider,John Schneider,John Schneider
1981,83,Treat Me Right,Pat Benatar,Pat Benatar,Pat Benatar
1981,84,Winning,Santana,Santana,Santana
1981,85,What Kind of Fool,"Barbra Streisand,Barry Gibb","Barbra Streisand,Barry Gibb",Barbra Streis
1981,86,Watching the Wheels,John Lennon,John Lennon,John Lennon
1981,87,Tell It Like It Is,Heart,Heart,Heart
1981,88,Smoky Mountain Rain,Ronnie Milsap,Ronnie Milsap,Ronnie Milsap
1981,89,I Made It Through the Rain,Barry Manilow,Barry Manilow,Barry Manilow
1981,90,You've Lost That Lovin' Feelin',Daryl Hall & John Oates,Daryl Hall & John Oates,Daryl Hall
1981,91,Suddenly,"Olivia Newton-John,Cliff Richard","Olivia Newton-John,Cliff Richard",Olivia Newton-John
1981,92,For Your Eyes Only,Sheena Easton,Sheena Easton,Sheena Easton
1981,93,The Beach Boys Medley,The Beach Boys,The Beach Boys,The Beach Boys
1981,94,Whip It,Devo,Devo,Devo
1981,95,Modern Girl,Sheena Easton,Sheena Easton,Sheena Easton
1981,96,Really Wanna Know You,Gary Wright,Gary Wright,Gary Wright
1981,97,Seven Year Ache,Rosanne Cash,Rosanne Cash,Rosanne Cash
1981,98,I'm Coming Out,Diana Ross,Diana Ross,Diana Ross
1981,99,Miss Sun,Boz Scaggs,Boz Scaggs,Boz Scaggs
1981,100,Time Is Time,Andy Gibb,Andy Gibb,y Gibb
1982,1,Physical,Olivia Newton-John,Olivia Newton-John,Olivia Newton-John
1982,2,Eye of the Tiger,Survivor,Survivor,Survivor
1982,3,I Love Rock 'n Roll,Joan Jett & The Blackhearts,Joan Jett & The Blackhearts,Joan Jett
1982,4,Ebony and Ivory,"Paul McCartney,Stevie Wonder","Paul McCartney,Stevie Wonder",Paul McCartney
1982,5,Centerfold,The J. Geils Band,The J. Geils Band,The J. Geils B
1982,6,Don't You Want Me,The Human League,The Human League,The Human League
1982,7,Jack & Diane,John Cougar,John Cougar,John Cougar
1982,8,Hurts So Good,John Cougar,John Cougar,John Cougar
1982,9,Abracadabra,Steve Miller Band,Steve Miller Band,Steve Miller B
1982,10,Hard to Say I'm Sorry,Chicago,Chicago,Chicago
1982,11,Tainted Love,Soft Cell,Soft Cell,So
1982,12,Chariots of Fire,Vangelis,Vangelis,Vangelis
1982,13,Harden My Heart,Quarterflash,Quarterflash,Quarterflash
1982,14,Rosanna,Toto,Toto,Toto
1982,15,I Can't Go for That (No Can Do),Daryl Hall & John Oates,Daryl Hall & John Oates,Daryl Hall
1982,16,867-5309/Jenny,Tommy Tutone,Tommy Tutone,Tommy Tutone
1982,17,Key Largo,Bertie Higgins,Bertie Higgins,Bertie Higgins
1982,18,You Should Hear How She Talks About You,Melissa Manchester,Melissa Manchester,Melissa Manchester
1982,19,Waiting for a Girl Like You,Foreigner,Foreigner,Foreigner
1982,20,Don't Talk to Strangers,Rick Springfield,Rick Springfield,Rick Springfield
1982,21,The Sweetest Thing (I've Ever Known),Juice Newton,Juice Newton,Juice Newton
1982,22,Always on My Mind,Willie Nelson,Willie Nelson,Willie Nelson
1982,23,Shake It Up,The Cars,The Cars,The Cars
1982,24,Let It Whip,Dazz Band,Dazz Band,Dazz B
1982,25,We Got the Beat,The Go-Go's,The Go-Go's,The Go-Go's
1982,26,The Other Woman,Ray Parker Jr.,Ray Parker Jr.,Ray Parker Jr.
1982,27,Turn Your Love Around,George Benson,George Benson,George Benson
1982,28,Sweet Dreams,Air Supply,Air Supply,Air Supply
1982,29,Only the Lonely,The Motels,The Motels,The Motels
1982,30,Who Can It Be Now?,Men at Work,Men at Work,Men at Work
1982,31,Hold Me,Fleetwood Mac,Fleetwood Mac,Fleetwood Mac
1982,32,Eye in the Sky,The Alan Parsons Project,The Alan Parsons Project,The Alan Parsons Project
1982,33,Let's Groove,"Earth, Wind & Fire","Earth, Wind & Fire",Earth
1982,34,Open Arms,Journey,Journey,Journey
1982,35,Leader of the Band,Dan Fogelberg,Dan Fogelberg,Dan Fogelberg
1982,36,Leather and Lace,"Stevie Nicks,Don Henley","Stevie Nicks,Don Henley",Stevie Nicks
1982,37,Even the Nights Are Better,Air Supply,Air Supply,Air Supply
1982,38,I've Never Been to Me,Charlene,Charlene,Charlene
1982,39,'65 Love Affair,Paul Davis,Paul Davis,Paul Davis
1982,40,Heat of the Moment,Asia,Asia,Asia
1982,41,Take It Easy on Me,Little River Band,Little River Band,Little River B
1982,42,Pac-Man Fever,Buckner & Garcia,Buckner & Garcia,Buckner
1982,43,That Girl,Stevie Wonder,Stevie Wonder,Stevie Wonder
1982,44,Private Eyes,Daryl Hall & John Oates,Daryl Hall & John Oates,Daryl Hall
1982,45,Trouble,Lindsey Buckingham,Lindsey Buckingham,Lindsey Buckingham
1982,46,Making Love,Roberta Flack,Roberta Flack,Roberta Flack
1982,47,Love's Been a Little Bit Hard on Me,Juice Newton,Juice Newton,Juice Newton
1982,48,Young Turks,Rod Stewart,Rod Stewart,Rod Stewart
1982,49,Freeze-Frame,The J. Geils Band,The J. Geils Band,The J. Geils B
1982,50,Keep the Fire Burnin',REO Speedwagon,REO Speedwagon,REO Speedwagon
1982,51,Do You Believe in Love,Huey Lewis and the News,Huey Lewis and the News,Huey Lewis
1982,52,Cool Night,Paul Davis,Paul Davis,Paul Davis
1982,53,Caught Up In You,.38 Special,.38 Special,.38 Special
1982,54,Why Do Fools Fall In Love?,Diana Ross,Diana Ross,Diana Ross
1982,55,Love in the First Degree,Alabama,Alabama,Alabama
1982,56,Hooked On Classics,Royal Philharmonic Orchestra,Royal Philharmonic Orchestra,Royal Philharmonic Orchestra
1982,57,Wasted on the Way,"Crosby, Stills & Nash","Crosby, Stills & Nash",Crosby
1982,58,Think I'm in Love,Eddie Money,Eddie Money,Eddie Money
1982,59,Love Is in Control (Finger on the Trigger),Donna Summer,Donna Summer,Donna Summer
1982,60,Personally,Karla Bonoff,Karla Bonoff,Karla Bonoff
1982,61,One Hundred Ways,"Quincy Jones,James Ingram","Quincy Jones,James Ingram",Quincy Jones
1982,62,Blue Eyes,Elton John,Elton John,Elton John
1982,63,Our Lips Are Sealed,The Go-Go's,The Go-Go's,The Go-Go's
1982,64,You Could Have Been with Me,Sheena Easton,Sheena Easton,Sheena Easton
1982,65,You Can Do Magic,America,America,America
1982,66,Did It in a Minute,Daryl Hall & John Oates,Daryl Hall & John Oates,Daryl Hall
1982,67,I Ran (So Far Away),A Flock of Seagulls,A Flock of Seagulls,A Flock of Seagulls
1982,68,Somebody's Baby,Jackson Browne,Jackson Browne,Jackson Browne
1982,69,Oh No,Commodores,Commodores,Commodores
1982,70,Take It Away,Paul McCartney,Paul McCartney,Paul McCartney
1982,71,It's Gonna Take a Miracle,Deniece Williams,Deniece Williams,Deniece Williams
1982,72,Love Will Turn You Around,Kenny Rogers,Kenny Rogers,Kenny Rogers
1982,73,Don't Stop Believin',Journey,Journey,Journey
1982,74,Comin' In and Out of Your Life,Barbra Streisand,Barbra Streisand,Barbra Streis
1982,75,Gloria,Laura Branigan,Laura Branigan,Laura Branigan
1982,76,Empty Garden (Hey Hey Johnny),Elton John,Elton John,Elton John
1982,77,Yesterday's Songs,Neil Diamond,Neil Diamond,Neil Diamond
1982,78,Crimson and Clover,Joan Jett & The Blackhearts,Joan Jett & The Blackhearts,Joan Jett
1982,79,Every Little Thing She Does Is Magic,The Police,The Police,The Police
1982,80,Here I Am,Air Supply,Air Supply,Air Supply
1982,81,I Keep Forgettin' (Every Time You're Near),Michael McDonald,Michael McDonald,Michael McDonald
1982,82,Get Down on It,Kool & the Gang,Kool & the Gang,Kool
1982,83,Any Day Now,Ronnie Milsap,Ronnie Milsap,Ronnie Milsap
1982,84,Make a Move on Me,Olivia Newton-John,Olivia Newton-John,Olivia Newton-John
1982,85,Take My Heart (You Can Have It If You Want It),Kool & the Gang,Kool & the Gang,Kool
1982,86,Mirror Mirror,Diana Ross,Diana Ross,Diana Ross
1982,87,Vacation,The Go-Go's,The Go-Go's,The Go-Go's
1982,88,(Oh) Pretty Woman,Van Halen,Van Halen,Van Halen
1982,89,Should I Do It,The Pointer Sisters,The Pointer Sisters,The Pointer Sisters
1982,90,Hot in the City,Billy Idol,Billy Idol,Billy Idol
1982,91,Kids in America,Kim Wilde,Kim Wilde,Kim Wilde
1982,92,Man on Your Mind,Little River Band,Little River Band,Little River B
1982,93,What's Forever For,Michael Murphey,Michael Murphey,Michael Murphey
1982,94,Waiting on a Friend,The Rolling Stones,The Rolling Stones,The Rolling Stones
1982,95,Do I Do,Stevie Wonder,Stevie Wonder,Stevie Wonder
1982,96,Working for the Weekend,Loverboy,Loverboy,Loverboy
1982,97,Goin' Down,Greg Guidry,Greg Guidry,Greg Guidry
1982,98,Arthur's Theme (Best That You Can Do),Christopher Cross,Christopher Cross,Christopher Cross
1982,99,Through the Years,Kenny Rogers,Kenny Rogers,Kenny Rogers
1982,100,Edge of Seventeen,Stevie Nicks,Stevie Nicks,Stevie Nicks
1983,1,Every Breath You Take,The Police,The Police,The Police
1983,2,Billie Jean,Michael Jackson,Michael Jackson,Michael Jackson
1983,3,Flashdance... What a Feeling,Irene Cara,Irene Cara,Irene Cara
1983,4,Down Under,Men at Work,Men at Work,Men at Work
1983,5,Beat It,Michael Jackson,Michael Jackson,Michael Jackson
1983,6,Total Eclipse of the Heart,Bonnie Tyler,Bonnie Tyler,Bonnie Tyler
1983,7,Maneater,Daryl Hall & John Oates,Daryl Hall & John Oates,Daryl Hall
1983,8,"Baby, Come to Me","Patti Austin,James Ingram","Patti Austin,James Ingram",Patti Austin
1983,9,Maniac,Michael Sembello,Michael Sembello,Michael Sembello
1983,10,Sweet Dreams (Are Made of This),Eurythmics,Eurythmics,Eurythmics
1983,11,Do You Really Want to Hurt Me,Culture Club,Culture Club,Culture Club
1983,12,You and I,"Eddie Rabbitt,Crystal Gayle","Eddie Rabbitt,Crystal Gayle",Eddie Rabbitt
1983,13,Come On Eileen,Dexys Midnight Runners,Dexys Midnight Runners,De
1983,14,Shame on the Moon,Bob Seger & The Silver Bullet Band,Bob Seger & The Silver Bullet Band,Bob Seger
1983,15,She Works Hard for the Money,Donna Summer,Donna Summer,Donna Summer
1983,16,Never Gonna Let You Go,Sérgio Mendes,Sérgio Mendes,Sérgio Mendes
1983,17,Hungry Like the Wolf,Duran Duran,Duran Duran,Duran Duran
1983,18,Let's Dance,David Bowie,David Bowie,David Bowie
1983,19,Twilight Zone,Golden Earring,Golden Earring,Golden Earring
1983,20,I Know There's Something Going On,Frida,Frida,Frida
1983,21,Jeopardy,The Greg Kihn Band,The Greg Kihn Band,The Greg Kihn B
1983,22,Electric Avenue,Eddy Grant,Eddy Grant,Eddy Grant
1983,23,She Blinded Me with Science,Thomas Dolby,Thomas Dolby,Thomas Dolby
1983,24,Africa,Toto,Toto,Toto
1983,25,Little Red Corvette,Prince,Prince,Prince
1983,26,Back on the Chain Gang,The Pretenders,The Pretenders,The Pretenders
1983,27,Up Where We Belong,"Joe Cocker,Jennifer Warnes","Joe Cocker,Jennifer Warnes",Joe Cocker
1983,28,Mr. Roboto,Styx,Styx,Sty
1983,29,You Are,Lionel Richie,Lionel Richie,Lionel Richie
1983,30,Der Kommissar,After the Fire,After the Fire,A
1983,31,Puttin' on the Ritz,Taco,Taco,Taco
1983,32,Sexual Healing,Marvin Gaye,Marvin Gaye,Marvin Gaye
1983,33,(Keep Feeling) Fascination,The Human League,The Human League,The Human League
1983,34,Time (Clock of the Heart),Culture Club,Culture Club,Culture Club
1983,35,The Safety Dance,Men Without Hats,Men Without Hats,Men
1983,36,Mickey,Toni Basil,Toni Basil,Toni Basil
1983,37,You Can't Hurry Love,Phil Collins,Phil Collins,Phil Collins
1983,38,Separate Ways (Worlds Apart),Journey,Journey,Journey
1983,39,One on One,Daryl Hall & John Oates,Daryl Hall & John Oates,Daryl Hall
1983,40,We've Got Tonight,"Kenny Rogers,Sheena Easton","Kenny Rogers,Sheena Easton",Kenny Rogers
1983,41,1999,Prince,Prince,Prince
1983,42,Stray Cat Strut,Stray Cats,Stray Cats,Stray Cats
1983,43,Allentown,Billy Joel,Billy Joel,Billy Joel
1983,44,Stand Back,Stevie Nicks,Stevie Nicks,Stevie Nicks
1983,45,Tell Her About It,Billy Joel,Billy Joel,Billy Joel
1983,46,Always Something There to Remind Me,Naked Eyes,Naked Eyes,Naked Eyes
1983,47,Truly,Lionel Richie,Lionel Richie,Lionel Richie
1983,48,Dirty Laundry,Don Henley,Don Henley,Don Henley
1983,49,The Girl Is Mine,"Michael Jackson,Paul McCartney","Michael Jackson,Paul McCartney",Michael Jackson
1983,50,Too Shy,Kajagoogoo,Kajagoogoo,Kajagoogoo
1983,51,Goody Two-Shoes,Adam Ant,Adam Ant,Adam Ant
1983,52,Rock the Casbah,The Clash,The Clash,The Clash
1983,53,Our House,Madness,Madness,Madness
1983,54,Overkill,Men at Work,Men at Work,Men at Work
1983,55,Is There Something I Should Know?,Duran Duran,Duran Duran,Duran Duran
1983,56,Gloria,Laura Branigan,Laura Branigan,Laura Branigan
1983,57,Affair of the Heart,Rick Springfield,Rick Springfield,Rick Springfield
1983,58,She's a Beauty,The Tubes,The Tubes,The Tubes
1983,59,Solitaire,Laura Branigan,Laura Branigan,Laura Branigan
1983,60,Don't Let It End,Styx,Styx,Sty
1983,61,How Am I Supposed to Live Without You,Laura Branigan,Laura Branigan,Laura Branigan
1983,62,China Girl,David Bowie,David Bowie,David Bowie
1983,63,Come Dancing,The Kinks,The Kinks,The Kinks
1983,64,"Promises, Promises",Naked Eyes,Naked Eyes,Naked Eyes
1983,65,The Other Guy,Little River Band,Little River Band,Little River B
1983,66,Making Love Out of Nothing at All,Air Supply,Air Supply,Air Supply
1983,67,Family Man,Daryl Hall & John Oates,Daryl Hall & John Oates,Daryl Hall
1983,68,Wanna Be Startin' Somethin',Michael Jackson,Michael Jackson,Michael Jackson
1983,69,I Won't Hold You Back,Toto,Toto,Toto
1983,70,All Right,Christopher Cross,Christopher Cross,Christopher Cross
1983,71,Straight from the Heart,Bryan Adams,Bryan Adams,Bryan Adams
1983,72,Heart to Heart,Kenny Loggins,Kenny Loggins,Kenny Loggins
1983,73,My Love,Lionel Richie,Lionel Richie,Lionel Richie
1983,74,I'm Still Standing,Elton John,Elton John,Elton John
1983,75,Hot Girls in Love,Loverboy,Loverboy,Loverboy
1983,76,It's a Mistake,Men at Work,Men at Work,Men at Work
1983,77,I'll Tumble 4 Ya,Culture Club,Culture Club,Culture Club
1983,78,All This Love,DeBarge,DeBarge,DeBarge
1983,79,Your Love Is Driving Me Crazy,Sammy Hagar,Sammy Hagar,Sammy Hagar
1983,80,Heartbreaker,Dionne Warwick,Dionne Warwick,Dionne Warwick
1983,81,Faithfully,Journey,Journey,Journey
1983,82,Steppin' Out,Joe Jackson,Joe Jackson,Joe Jackson
1983,83,Quarterflash,,,
1983,84,(She's) Sexy + 17,Stray Cats,Stray Cats,Stray Cats
1983,85,Try Again,Champaign,Champaign,Champaign
1983,86,Shalamar,,,
1983,87,Lawyers in Love,Jackson Browne,Jackson Browne,Jackson Browne
1983,88,What About Me,Moving Pictures,Moving Pictures,Moving Pictures
1983,89,Human Nature,Michael Jackson,Michael Jackson,Michael Jackson
1983,90,Photograph,Def Leppard,Def Leppard,Def Leppard
1983,91,Pass the Dutchie,Musical Youth,Musical Youth,Musical Youth
1983,92,True,Spandau Ballet,Spandau Ballet,Sp
1983,93,Far from Over,Frank Stallone,Frank Stallone,Frank Stallone
1983,94,I've Got a Rock 'n' Roll Heart,Eric Clapton,Eric Clapton,Eric Clapton
1983,95,It Might Be You,Stephen Bishop,Stephen Bishop,Stephen Bishop
1983,96,"Tonight, I Celebrate My Love","Peabo Bryson,Roberta Flack","Peabo Bryson,Roberta Flack",Peabo Bryson
1983,97,You Got Lucky,Tom Petty and the Heartbreakers,Tom Petty and the Heartbreakers,Tom Petty
1983,98,Don't Cry,Asia,Asia,Asia
1983,99,Breaking Us in Two,Joe Jackson,Joe Jackson,Joe Jackson
1983,100,Fall in Love with Me,"Earth, Wind & Fire","Earth, Wind & Fire",Earth
1984,1,When Doves Cry,Prince,Prince,Prince
1984,2,What's Love Got to Do with It,Tina Turner,Tina Turner,Tina Turner
1984,3,"Say, Say, Say","Paul McCartney,Michael Jackson","Paul McCartney,Michael Jackson",Paul McCartney
1984,4,Footloose,Kenny Loggins,Kenny Loggins,Kenny Loggins
1984,5,Against All Odds (Take a Look at Me Now),Phil Collins,Phil Collins,Phil Collins
1984,6,Jump,Van Halen,Van Halen,Van Halen
1984,7,Hello,Lionel Richie,Lionel Richie,Lionel Richie
1984,8,Owner of a Lonely Heart,Yes,Yes,Yes
1984,9,Ghostbusters,Ray Parker Jr.,Ray Parker Jr.,Ray Parker Jr.
1984,10,Karma Chameleon,Culture Club,Culture Club,Culture Club
1984,11,Missing You,John Waite,John Waite,John Waite
1984,12,All Night Long (All Night),Lionel Richie,Lionel Richie,Lionel Richie
1984,13,Let's Hear It for the Boy,Deniece Williams,Deniece Williams,Deniece Williams
1984,14,Dancing in the Dark,Bruce Springsteen,Bruce Springsteen,Bruce Springsteen
